Price,Company,Operating System,RAM,Type,Warranty,Inches,TouchScreen,HDD,SSD,Generation,Processor Type
91443,HP,Windows11,16,Pavilion,1,15,NO,0,1024.0,12,i7
49990,Acer,Windows11,16,Aspire,1,14,NO,0,512.0,13,i3
32990,Lenovo,DOS,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
48990,HP,Windows10,8,N\A,1,15,NO,0,512.0,11,i3
29990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
78990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,12,i5
39796,DELL,Windows11,8,N\A,1,15,NO,0,512.0,12,i3
54990,MSI,Windows11,16,N\A,1,15,NO,1024,256.0,11,i5
56690,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 5
91443,HP,Windows11,16,Pavilion,1,15,NO,0,1024.0,12,i7
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
40990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,0,Ryzen 5
26999,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Athlon Dual Core
145790,APPLE,Mac,8,MacBook Air,1,15,NO,0,512.0,0,Other
43990,MSI,Windows11,16,N\A,1,14,NO,0,512.0,0,Ryzen 5
69990,Lenovo,Windows11,16,N\A,1,14,NO,0,512.0,11,i5
114990,ASUS,Windows11,16,Gaming,1,15,NO,0,1024.0,0,Ryzen 7
106990,MSI,Windows11,16,N\A,1,15,NO,0,1024.0,13,i7
29990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
85990,ASUS,Windows11,16,N\A,1,15,NO,0,512.0,12,i5
