Price,Company,Processor,Operating System,RAM,Type,Warranty,Inches,TouchScreen,HDD,SSD
40990,HP,Intel Core i3 Processor (12th Gen),Windows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
64200,HP,Intel Core i5 Processor (13th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
65249,HP,Intel Core i5 Processor (12th Gen),64bitWindows11,16,Pavilion,1 Year Onsite Warranty,,NO,,512
55490,Lenovo,Intel Core i5 Processor (11th Gen),Windows11,8,IdeaPad,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection,15.6,NO,,512
57990,HP,AMD Ryzen 7 Octa Core Processor,64bitWindows11,16,N\A,1 Year Onsite Warranty,14,NO,,512
36990,Acer,Intel Core i3 Processor (12th Gen),64bitWindows11,8,Aspire,1 Year International Travelers Warranty (ITW),,NO,,512
63990,MSI,Intel Core i7 Processor (11th Gen),Windows11,16,N\A,2 Year Carry-in Warranty,15.6,NO,1024,256
40990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows11,8,N\A,1 Year Carry-in Warranty,14,NO,,512
59990,MSI,AMD Ryzen 7 Octa Core Processor,64bitWindows11,16,N\A,1 Year Warranty Term,,NO,,512
30480,ASUS,Intel Celeron Dual Core Processor,64bitWindows11,8,VivoBook,1 Year Onsite Warranty,,NO,,512
56990,SAMSUNG,Intel Core i5 Processor (12th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,256
36390,DELL,Intel Core i3 Processor (11th Gen),64bitWindows11,8,Inspiron,1 Year Onsite Warranty,15.6,NO,,512
39990,HP,Intel Core i3 Processor (11th Gen),Windows11,8,N\A,1 Year Onsite Warranty,14,NO,,512
37990,HP,AMD Ryzen 3 Quad Core Processor,64bitWindows11,8,N\A,1 Year Onsite Warranty,,NO,,512
114990,Lenovo,Intel Core i7 Processor (13th Gen),Windows11,16,N\A,1 Year Carry-in Warranty,15.6,NO,,512
79990,HP,AMD Ryzen 7 Octa Core Processor,64bitWindows11,16,N\A,1 Year Onsite Warranty,16.1,NO,,512
59990,ASUS,Intel Core i5 Processor (12th Gen),Windows11,16,VivoBook,1 Year Onsite Warranty,,NO,,512
59990,MSI,AMD Ryzen 7 Octa Core Processor,64bitWindows11,16,N\A,1 Year Warranty Term,,NO,,512
60990,Lenovo,AMD Ryzen 5 Hexa Core Processor,Windows11,16,IdeaPad,1 Year Carry-in Warranty,14,NO,,512
74990,ASUS,Intel Core i5 Processor (12th Gen),64bitWindows11,16,VivoBook,1 Year Onsite Warranty,14,NO,,512
44990,Acer,Intel Core i5 Processor (12th Gen),64bitWindows11,8,Aspire,1 Year International Travelers Warranty (ITW),,NO,,512
53800,HP,Intel Core i3 Processor (11th Gen),64bitWindows11,8,Pavilion,1 Year Onsite Warranty,,YES,,512
50990,Acer,Intel Core i5 Processor (12th Gen),Windows11,16,Aspire,1 Year Onsite Warranty,15.6,NO,,512
93590,Lenovo,AMD Ryzen 7 Octa Core Processor,Windows11,16,IdeaPad,1 Year Onsite Premium Support with 1 Year Onsite Warranty,14,NO,,512
57990,HP,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,1 Year Onsite Warranty,16.1,NO,,512
35990,MSI,Intel Core i5 Processor (11th Gen),Windows11,8,N\A,1 Year Carry-in Warranty,14,NO,,512
76990,HP,AMD Ryzen 7 Octa Core Processor,Windows11,16,N\A,1 Year Onsite Warranty,15.6,NO,,512
58990,HP,Intel Core i5 Processor (11th Gen),Windows11,8,N\A,1 Year Onsite Warranty,16.1,NO,,512
63990,HP,Intel Core i5 Processor (12th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
23990,Infinix,Intel Celeron Quad Core Processor (11th Gen),Windows11,8,N\A,1 Year Onsite Warranty,,NO,,512
35990,ASUS,AMD Ryzen 3 Quad Core Processor,Windows11,8,VivoBook,1 Year Onsite Warranty,14,NO,,512
57990,Acer,Intel Core i5 Processor (12th Gen),64bitWindows11,8,Aspire,1 Year International Travelers Warranty,15.6,NO,,512
46599,HP,AMD Ryzen 5 Hexa Core Processor,64bitWindows11,16,N\A,1 Year Onsite Warranty,15.6,NO,,512
32990,HP,AMD Ryzen 3 Dual Core Processor,Windows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
55490,Lenovo,Intel Core i5 Processor (11th Gen),Windows11,8,IdeaPad,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection,15.6,NO,,512
107990,APPLE,Apple M2 Processor,Mac,8,MacBook Air,1 Year Limited Warranty,13.6,NO,,256
65990,HP,AMD Ryzen 5 Hexa Core Processor,Windows11,16,N\A,1 Year Onsite Warranty,15.6,NO,,512
57990,HP,AMD Ryzen 7 Octa Core Processor,64bitWindows11,16,N\A,1 Year Onsite Warranty,14,NO,,512
114990,Lenovo,Intel Core i7 Processor (13th Gen),Windows11,16,N\A,1 Year Carry-in Warranty,15.6,NO,,512
32990,HP,Intel Core i3 Processor (11th Gen),64bitWindows10,8,N\A,1 Year Onsite Warranty,,NO,1024,
62990,Lenovo,AMD Ryzen 5 Hexa Core Processor,Windows11,8,IdeaPad,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year ADP,15.6,NO,,512
40990,ASUS,Intel Core i3 Processor (12th Gen),Windows11,8,VivoBook,1 Year Onsite Warranty,15.6,NO,,512
229990,APPLE,Apple M2 Pro Processor,Mac,16,MacBook Pro,1 Year Limited Warranty,14,NO,,1024
58990,HP,Intel Core i5 Processor (11th Gen),Windows11,8,N\A,1 Year Onsite Warranty,16.1,NO,,512
57990,HP,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,1 Year Onsite Warranty,16.1,NO,,512
285490,APPLE,Apple M2 Max Processor,Mac,32,MacBook Pro,1 Year Limited Warranty,14,NO,,1024
99990,ASUS,AMD Ryzen 5 Hexa Core Processor,Windows11,16,ZenBook,1 Year Onsite Warranty,13.3,YES,,512
63990,HP,Intel Core i5 Processor (12th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
78990,Lenovo,Intel Core i5 Processor (12th Gen),Windows11,16,N\A,1 Year Carry-in Warranty,15.6,NO,,512
51990,Lenovo,Intel Core i5 Processor (12th Gen),Windows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
107990,APPLE,Apple M2 Processor,Mac,8,MacBook Air,,13.6,NO,,256
56390,HP,Intel Core i3 Processor (12th Gen),Windows11,8,Pavilion,1 Year Onsite Warranty,14,NO,,512
88990,ASUS,AMD Ryzen 7 Octa Core Processor,64bitWindows11,16,Gaming,1 Year Onsite Warranty,15.6,NO,,1024
32990,HP,AMD Ryzen 3 Dual Core Processor,Windows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
40990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows11,8,N\A,1 Year Carry-in Warranty,14,NO,,512
67990,MSI,Intel Core i7 Processor (13th Gen),Windows11,16,N\A,1 Year Carry-in Warranty,15.6,NO,,512
89990,Acer,Intel Core i7 Processor (12th Gen),Windows11,16,N\A,1 Year International Travelers Warranty (ITW),15.6,NO,,512
43990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows11,16,N\A,1 Year Carry-in Warranty,14,NO,,512
69990,Lenovo,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,3 Years Onsite Warranty + 3 Years Premium Care + 1 Year Accidental Damage Protection,14,NO,,512
107990,APPLE,Apple M2 Processor,Mac,8,MacBook Air,1 Year Limited Warranty,13.6,NO,,256
