Price,Company,Processor,Operating System,RAM,Display,Storage,Type,Warranty
55490,Lenovo,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,IdeaPad,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection
57990,HP,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
54990,DELL,Processor: Intel i5-1235U (Base- 3.30 GHz & Turbo up to 4.40 GHz) 10 Cores,64 bit Windows 11 Operating System,8,"Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border","RAM & Storage: 8GB DDR4 & 512GB SSD, 512 GB SSD",N\A,
26990,Infinix,Intel Core i3 Processor (10th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
40990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,8,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year Carry-in Warranty
59990,MSI,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,39.62 cm (15.6 inch) Display,512 GB SSD,N\A,1 Year Warranty Term
72990,MSI,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,2 Year On-Site & Carry-In Warranty
66500,Lenovo,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,16,39.62 cm (15.6 inch) Display,512 GB SSD,IdeaPad,1 Year Onsite warranty + 1 Year Accidental Damage Protection + 1 Year Premium Care
54990,HP,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
36490,DELL,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
58990,HP,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,8,40.89 cm (16.1 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
57990,HP,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,16,40.89 cm (16.1 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
29990,HP,AMD Ryzen 3 Dual Core Processor,64 bit Windows 11 Operating System,8,39.62 cm (15.6 inch) Display,512 GB SSD,N\A,
55350,Lenovo,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,IdeaPad,2 Year warranty
32990,HP,AMD Ryzen 3 Dual Core Processor,Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
63990,HP,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
38990,ASUS,AMD Ryzen 3 Quad Core Processor,Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,VivoBook,1 Year Onsite Warranty
40990,HP,Intel Core i3 Processor (12th Gen),Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
64200,HP,Intel Core i5 Processor (13th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
65249,HP,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,16,35.56 cm (14 inch) Display,512 GB SSD,Pavilion,1 Year Onsite Warranty
55490,Lenovo,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,IdeaPad,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection
57990,HP,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
36990,Acer,Intel Core i3 Processor (12th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 inch) Display,512 GB SSD,Aspire,1 Year International Travelers Warranty (ITW)
63990,MSI,Intel Core i7 Processor (11th Gen),Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,1 TB HDD|256 GB SSD,N\A,2 Year Carry-in Warranty
40990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,8,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year Carry-in Warranty
59990,MSI,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,39.62 cm (15.6 inch) Display,512 GB SSD,N\A,1 Year Warranty Term
30480,ASUS,Intel Celeron Dual Core Processor,64 bit Windows 11 Operating System,8,39.62 cm (15.6 inch) Display,512 GB SSD,VivoBook,1 Year Onsite Warranty
56990,SAMSUNG,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,256 GB SSD,N\A,1 Year Onsite Warranty
36390,DELL,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,Inspiron,1 Year Onsite Warranty
39990,HP,Intel Core i3 Processor (11th Gen),Windows 11 Operating System,8,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
37990,HP,AMD Ryzen 3 Quad Core Processor,64 bit Windows 11 Operating System,8,39.62 cm (15.6 inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
114990,Lenovo,Intel Core i7 Processor (13th Gen),Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Carry-in Warranty
79990,HP,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,40.89 cm (16.1 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
59990,ASUS,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,35.56 cm (14 inch) Display,512 GB SSD,VivoBook,1 Year Onsite Warranty
59990,MSI,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,39.62 cm (15.6 inch) Display,512 GB SSD,N\A,1 Year Warranty Term
60990,Lenovo,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16,35.56 cm (14 Inch) Display,512 GB SSD,IdeaPad,1 Year Carry-in Warranty
74990,ASUS,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,16,35.56 cm (14 Inch) Display,512 GB SSD,VivoBook,1 Year Onsite Warranty
44990,Acer,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 inch) Display,512 GB SSD,Aspire,1 Year International Travelers Warranty (ITW)
53800,HP,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,8,35.56 cm (14 inch) Touchscreen Display,512 GB SSD,Pavilion,1 Year Onsite Warranty
50990,Acer,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,Aspire,1 Year Onsite Warranty
93590,Lenovo,AMD Ryzen 7 Octa Core Processor,Windows 11 Operating System,16,35.56 cm (14 Inch) Display,512 GB SSD,IdeaPad,1 Year Onsite Premium Support with 1 Year Onsite Warranty
57990,HP,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,16,40.89 cm (16.1 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
35990,MSI,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,8,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year Carry-in Warranty
76990,HP,AMD Ryzen 7 Octa Core Processor,Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
58990,HP,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,8,40.89 cm (16.1 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
63990,HP,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
